drugbank_id,drugbank_tid,CID,mol_id,action
DB00006,BE0000048,16129704,339641,inhibitor
DB00014,BE0000134,5311128,903746,agonist
DB00014,BE0000203,5311128,183422,agonist
DB00050,BE0000203,25074887,183422,antagonist
DB00093,BE0000165,14257662,667068,agonist
DB00175,BE0000574,54687,306865,inhibitor
DB00176,BE0000749,3404,36433,inhibitor
DB00177,BE0000062,60846,179122,antagonist
DB00178,BE0000221,5362129,178286,inhibitor
DB00179,BE0000248,71398,187193,inhibitor
DB00180,BE0000794,82153,31680,agonist
DB00181,BE0000217,2284,3892594,agonist
DB00181,BE0002340,2284,3776098,agonist
DB00183,BE0001158,9853654,306489,agonist
DB00184,BE0000849,89594,755648,agonist
DB00184,BE0002341,89594,496607,agonist
DB00184,BE0000850,89594,32017,agonist
DB00184,BE0000738,89594,1458110,agonist
DB00184,BE0003585,89594,177898,agonist
DB00184,BE0003586,89594,177926,agonist
DB00184,BE0003587,89594,1458118,agonist
DB00184,BE0002343,89594,6688136,agonist
DB00184,BE0000411,89594,12053839,agonist
DB00184,BE0003588,89594,1458124,agonist
DB00184,BE0003584,89594,1458126,agonist
DB00184,BE0002090,89594,179002,inhibitor
DB00184,BE0000519,89594,301096,inhibitor
DB00185,BE0000045,25137844,32324,agonist
DB00185,BE0000092,25137844,34451,agonist
DB00186,BE0004797,3958,31631,positive allosteric modulator
DB00186,BE0004797,3958,386422,positive allosteric modulator
DB00186,BE0004797,3958,386424,positive allosteric modulator
DB00186,BE0004797,3958,905393,positive allosteric modulator
DB00186,BE0004797,3958,182916,positive allosteric modulator
DB00186,BE0004797,3958,1470364,positive allosteric modulator
DB00186,BE0004797,3958,31635,positive allosteric modulator
DB00186,BE0004797,3958,455946,positive allosteric modulator
DB00186,BE0004797,3958,182925,positive allosteric modulator
DB00186,BE0004797,3958,2388693,positive allosteric modulator
DB00186,BE0004797,3958,1857126,positive allosteric modulator
DB00186,BE0004797,3958,193783776,positive allosteric modulator
DB00186,BE0004797,3958,31637,positive allosteric modulator
DB00186,BE0004797,3958,1754749,positive allosteric modulator
DB00186,BE0004797,3958,2197001,positive allosteric modulator
DB00186,BE0004797,3958,7861736,positive allosteric modulator
DB00186,BE0000736,3958,306883,other
DB00187,BE0000172,59768,178200,antagonist
DB00188,BE0002348,387447,558526,inhibitor
DB00188,BE0002347,387447,220026,inhibitor
DB00190,BE0002151,34359,181521,inhibitor
DB00192,BE0000197,52195,184039,inhibitor
DB00193,BE0000770,33741,452073,agonist
DB00193,BE0000486,33741,189258,inhibitor
DB00193,BE0000749,33741,36433,inhibitor
DB00193,BE0000533,33741,338028,antagonist
DB00193,BE0000632,33741,532060,agonist
DB00193,BE0000420,33741,27545517,agonist
DB00193,BE0000641,33741,20372905,antagonist
DB00193,BE0000045,33741,32324,antagonist
DB00193,BE0000092,33741,34451,antagonist
DB00194,BE0002350,21704,1334913,inhibitor
DB00194,BE0000458,21704,8100965,inducer
DB00195,BE0000172,2369,178200,antagonist
DB00195,BE0000694,2369,29371,antagonist
DB00196,BE0000233,3365,578119,inhibitor
DB00198,BE0000584,65028,60811,inhibitor
DB00198,BE0000914,65028,2773339,inhibitor
DB00200,BE0000734,70678542,1923221,cofactor
DB00200,BE0000777,70678542,187452,cofactor
DB00200,BE0000763,70678542,6572540,other
DB00200,BE0000320,70678542,26006421,other/unknown
DB00200,BE0000238,70678542,307479,other
DB00200,BE0000340,70678542,13507259,other
DB00200,BE0000936,70678542,3929529,other
DB00200,BE0000456,70678542,26284726,other
DB00200,BE0002175,70678542,52545527,other/unknown
DB00201,BE0000013,2519,256155,antagonist
DB00201,BE0000013,2519,256155,multitarget
DB00201,BE0000924,2519,177892,antagonist
DB00201,BE0000924,2519,177892,multitarget
DB00201,BE0000487,2519,347122,inhibitor
DB00201,BE0004922,2519,1151109,inhibitor
DB00201,BE0004922,2519,4958858,inhibitor
DB00201,BE0004922,2519,347120,inhibitor
DB00201,BE0004922,2519,347122,inhibitor
DB00201,BE0004922,2519,727223,inhibitor
DB00201,BE0004922,2519,347130,inhibitor
DB00201,BE0004922,2519,8439497,inhibitor
DB00201,BE0004922,2519,2108052,inhibitor
DB00201,BE0004922,2519,38201493,inhibitor
