,drugbank_id,drugbank_tid,CID,mol_id,action
0,DB00006,BE0000048,16129704,339641,inhibitor
1,DB00014,BE0000134,5311128,903746,agonist
2,DB00014,BE0000203,5311128,183422,agonist
3,DB00050,BE0000203,25074887,183422,antagonist
4,DB00093,BE0000165,14257662,667068,agonist
5,DB00175,BE0000574,54687,306865,inhibitor
6,DB00176,BE0000749,3404,36433,inhibitor
7,DB00177,BE0000062,60846,179122,antagonist
8,DB00178,BE0000221,5362129,178286,inhibitor
9,DB00179,BE0000248,71398,187193,inhibitor
10,DB00180,BE0000794,82153,31680,agonist
11,DB00181,BE0000217,2284,3892594,agonist
12,DB00181,BE0002340,2284,3776098,agonist
13,DB00183,BE0001158,9853654,306489,agonist
14,DB00184,BE0000849,89594,755648,agonist
15,DB00184,BE0002341,89594,496607,agonist
16,DB00184,BE0000850,89594,32017,agonist
17,DB00184,BE0000738,89594,1458110,agonist
18,DB00184,BE0003585,89594,177898,agonist
19,DB00184,BE0003586,89594,177926,agonist
20,DB00184,BE0003587,89594,1458118,agonist
21,DB00184,BE0002343,89594,6688136,agonist
22,DB00184,BE0000411,89594,12053839,agonist
23,DB00184,BE0003588,89594,1458124,agonist
24,DB00184,BE0003584,89594,1458126,agonist
25,DB00184,BE0002090,89594,179002,inhibitor
26,DB00184,BE0000519,89594,301096,inhibitor
29,DB00186,BE0004797,3958,31631,positive modulator
30,DB00186,BE0004797,3958,386422,positive modulator
31,DB00186,BE0004797,3958,386424,positive modulator
32,DB00186,BE0004797,3958,905393,positive modulator
33,DB00186,BE0004797,3958,182916,positive modulator
34,DB00186,BE0004797,3958,1470364,positive modulator
35,DB00186,BE0004797,3958,31635,positive modulator
36,DB00186,BE0004797,3958,455946,positive modulator
37,DB00186,BE0004797,3958,182925,positive modulator
38,DB00186,BE0004797,3958,2388693,positive modulator
39,DB00186,BE0004797,3958,1857126,positive modulator
40,DB00186,BE0004797,3958,193783776,positive modulator
41,DB00186,BE0004797,3958,31637,positive modulator
42,DB00186,BE0004797,3958,1754749,positive modulator
43,DB00186,BE0004797,3958,2197001,positive modulator
44,DB00186,BE0004797,3958,7861736,positive modulator
45,DB00186,BE0000736,3958,306883,other
46,DB00187,BE0000172,59768,178200,antagonist
47,DB00188,BE0002348,387447,558526,inhibitor
48,DB00188,BE0002347,387447,220026,inhibitor
49,DB00190,BE0002151,34359,181521,inhibitor
50,DB00192,BE0000197,52195,184039,inhibitor
51,DB00193,BE0000770,33741,452073,agonist
52,DB00193,BE0000486,33741,189258,inhibitor
53,DB00193,BE0000749,33741,36433,inhibitor
54,DB00193,BE0000533,33741,338028,antagonist
55,DB00193,BE0000632,33741,532060,agonist
56,DB00193,BE0000420,33741,27545517,agonist
57,DB00193,BE0000641,33741,20372905,antagonist
58,DB00193,BE0000045,33741,32324,antagonist
59,DB00193,BE0000092,33741,34451,antagonist
60,DB00194,BE0002350,21704,1334913,inhibitor
61,DB00194,BE0000458,21704,8100965,inducer
62,DB00195,BE0000172,2369,178200,antagonist
63,DB00195,BE0000694,2369,29371,antagonist
64,DB00196,BE0000233,3365,578119,inhibitor
65,DB00198,BE0000584,65028,60811,inhibitor
66,DB00198,BE0000914,65028,2773339,inhibitor
76,DB00201,BE0000013,2519,256155,antagonist
77,DB00201,BE0000013,2519,256155,multitarget
78,DB00201,BE0000924,2519,177892,antagonist
79,DB00201,BE0000924,2519,177892,multitarget
80,DB00201,BE0000487,2519,347122,inhibitor
81,DB00201,BE0004922,2519,1151109,inhibitor
82,DB00201,BE0004922,2519,4958858,inhibitor
83,DB00201,BE0004922,2519,347120,inhibitor
84,DB00201,BE0004922,2519,347122,inhibitor
85,DB00201,BE0004922,2519,727223,inhibitor
86,DB00201,BE0004922,2519,347130,inhibitor
87,DB00201,BE0004922,2519,8439497,inhibitor
88,DB00201,BE0004922,2519,2108052,inhibitor
89,DB00201,BE0004922,2519,38201493,inhibitor
90,DB00201,BE0004922,2519,1145302,inhibitor
91,DB00201,BE0004922,2519,3420185,inhibitor
92,DB00201,BE0004922,2519,10716052,inhibitor
93,DB00201,BE0004922,2519,5566609,inhibitor
94,DB00201,BE0004922,2519,16417190,inhibitor
95,DB00201,BE0004922,2519,32261241,inhibitor
96,DB00202,BE0000411,5314,12053839,agonist
97,DB00202,BE0000092,5314,34451,agonist
98,DB00202,BE0000560,5314,177990,agonist
