drugbank_id,drugbank_tid,CID,mol_id,action
DB00006,BE0000048,16129704,339641,inhibitor
DB00014,BE0000134,5311128,903746,agonist
DB00014,BE0000203,5311128,183422,agonist
DB00050,BE0000203,25074887,183422,antagonist
DB00091,BE0000379,5284373,619670,binder
DB00091,BE0002143,5284373,33150800,inhibitor
DB00091,BE0001399,5284373,181274,binder
DB00093,BE0000165,14257662,667068,agonist
DB00106,BE0000203,16131215,183422,antagonist
DB00114,BE0000102,1051,12406973,cofactor
DB00114,BE0000378,1051,182936,cofactor
DB00114,BE0000323,1051,388716,cofactor
DB00114,BE0000392,1051,1323715,cofactor
DB00114,BE0000331,1051,307422,cofactor
DB00114,BE0000151,1051,24042327,cofactor
DB00114,BE0000529,1051,179067,activator
DB00114,BE0000424,1051,189329,cofactor
DB00114,BE0000404,1051,29893806,cofactor
DB00114,BE0000727,1051,6165634,cofactor
DB00114,BE0000253,1051,602705,inhibitor
DB00114,BE0000181,1051,21728336,cofactor
DB00114,BE0000778,1051,10129683,cofactor
DB00114,BE0000692,1051,36713,cofactor
DB00114,BE0000273,1051,758591,cofactor
DB00114,BE0000482,1051,23243453,cofactor
DB00114,BE0000007,1051,183353,cofactor
DB00114,BE0000660,1051,2564249,cofactor
DB00114,BE0000079,1051,4894558,cofactor
DB00114,BE0000002,1051,32109,cofactor
DB00114,BE0000448,1051,15858863,cofactor
DB00114,BE0000164,1051,338030,cofactor
DB00114,BE0000518,1051,3342906,cofactor
DB00114,BE0000618,1051,190287,cofactor
DB00114,BE0000667,1051,1763096,cofactor
DB00114,BE0000603,1051,5326802,cofactor
DB00114,BE0000409,1051,28583,cofactor
DB00114,BE0000316,1051,36582,cofactor
DB00114,BE0000278,1051,37545684,cofactor
DB00114,BE0000441,1051,2564247,cofactor
DB00114,BE0000791,1051,262476,cofactor
DB00114,BE0000517,1051,1036780,cofactor
DB00114,BE0000721,1051,2342862,cofactor
DB00114,BE0002149,1051,4126978,cofactor
DB00114,BE0000822,1051,6537208,cofactor
DB00114,BE0000383,1051,179104,cofactor
DB00114,BE0002150,1051,307200,cofactor
DB00114,BE0000916,1051,190784,cofactor
DB00114,BE0002151,1051,181521,cofactor
DB00114,BE0002152,1051,46981967,cofactor
DB00114,BE0002153,1051,182936,cofactor
DB00114,BE0002154,1051,62898842,cofactor
DB00114,BE0002155,1051,62088496,cofactor
DB00114,BE0002156,1051,62087740,cofactor
DB00114,BE0002157,1051,62087214,cofactor
DB00114,BE0002158,1051,33112016,cofactor
DB00114,BE0002159,1051,55662653,cofactor
DB00114,BE0002160,1051,48145565,cofactor
DB00114,BE0002161,1051,38174269,cofactor
DB00114,BE0002162,1051,37542047,cofactor
DB00114,BE0002163,1051,34536121,cofactor
DB00114,BE0002164,1051,18027842,cofactor
DB00114,BE0002165,1051,23138819,cofactor
DB00114,BE0000292,1051,746436,cofactor
DB00114,BE0000898,1051,28586,cofactor
DB00114,BE0002166,1051,19046894,cofactor
DB00114,BE0002167,1051,7021017,cofactor
DB00114,BE0002168,1051,33150744,cofactor
DB00114,BE0002169,1051,14495153,cofactor
DB00114,BE0002170,1051,13560684,cofactor
DB00114,BE0000388,1051,11034785,cofactor
DB00114,BE0002171,1051,7652498,cofactor
DB00114,BE0002172,1051,7023574,cofactor
DB00114,BE0002173,1051,6562440,cofactor
DB00114,BE0002174,1051,6176530,cofactor
DB00115,BE0000734,70678590,1923221,cofactor
DB00115,BE0000777,70678590,187452,cofactor
DB00115,BE0000763,70678590,6572540,cofactor
DB00115,BE0000320,70678590,26006421,cofactor
DB00115,BE0002175,70678590,52545527,cofactor
DB00115,BE0002176,70678590,6139053,cofactor
DB00116,BE0000617,91443,307178,cofactor
DB00116,BE0000268,91443,35071,cofactor
DB00116,BE0000010,91443,391721,cofactor
DB00116,BE0000933,91443,3560541,cofactor
DB00116,BE0000734,91443,1923221,cofactor
DB00116,BE0000822,91443,6537208,cofactor
DB00116,BE0001240,91443,1263196,cofactor
DB00116,BE0000331,91443,307422,cofactor
DB00116,BE0000292,91443,746436,cofactor
DB00116,BE0002176,91443,6139053,cofactor
DB00116,BE0002154,91443,62898842,cofactor
DB00116,BE0002177,91443,133777035,cofactor
DB00118,BE0000372,34755,8671584,cofactor
