"","CID_id","mol_id","action_id"
"1",1081,1543,13
"2",858,1332,13
"3",750,1361,13
"4",1104,1768,13
"5",778,1794,13
"6",919,1432,13
"7",1087,1885,13
"8",1101,1381,13
"9",919,1288,13
"10",919,1434,13
"11",1188,1732,13
"12",444,1370,13
"13",919,1430,13
"14",584,1486,13
"15",1068,1381,13
"16",848,1714,13
"17",980,1440,13
"18",675,1370,13
"19",1091,1948,13
"20",121,1381,13
"21",1068,1885,13
"22",848,1885,13
"23",1068,1304,13
"24",234,1370,13
"25",109,1450,13
"26",109,1409,13
"27",109,1451,13
"28",919,1662,13
"29",919,1431,13
"30",84,1361,13
"31",858,1331,13
"32",278,1486,13
"33",858,1334,13
"34",284,1604,13
"35",1081,1411,13
"36",1081,1490,13
"37",709,1361,13
"38",386,1370,13
"39",201,1345,13
"40",1097,1381,13
"41",584,1381,13
"42",651,1370,13
"43",1226,1370,13
"44",276,1601,21
"45",276,1600,21
"46",276,1598,21
"47",276,1599,21
"48",276,1500,21
"49",269,1560,21
"50",269,1400,21
"51",269,1591,21
"52",269,1593,21
"53",269,1592,21
"54",316,1305,1
"55",730,1242,1
"56",279,1336,1
"57",784,1334,1
"58",502,1349,1
"59",1084,1945,1
"60",43,1278,1
"61",776,1351,1
"62",534,1291,1
"63",243,1334,1
"64",316,1304,1
"65",481,1739,1
"66",895,1342,1
"67",1086,1267,1
"68",1015,1345,1
"69",194,1336,1
"70",1163,1970,1
"71",56,1242,1
"72",38,1342,1
"73",792,1440,1
"74",195,1559,1
"75",236,1559,1
"76",895,1349,1
"77",243,1330,1
"78",593,1278,1
"79",520,1350,1
"80",786,1440,1
"81",80,1261,1
"82",79,1414,1
"83",325,1285,1
"84",12,1252,1
"85",77,1350,1
"86",288,1384,1
"87",537,1384,1
"88",92,1429,1
"89",892,1396,1
"90",863,1396,1
"91",32,1330,1
"92",486,1748,1
"93",1,1235,1
"94",962,1349,1
"95",690,1336,1
"96",1086,1275,1
"97",1088,1440,1
"98",556,1765,1
"99",520,1336,1
"100",488,1384,1
"101",425,1396,1
"102",287,1440,1
"103",1086,1265,1
"104",939,1278,1
"105",608,1260,1
"106",173,1384,1
"107",415,1386,1
"108",690,1342,1
"109",447,1336,1
"110",690,1385,1
"111",121,1486,1
"112",63,1386,1
"113",893,1330,1
"114",230,1512,1
"115",360,1342,1
"116",1090,1384,1
"117",77,1384,1
"118",895,1285,1
"119",68,1396,1
"120",412,1332,1
"121",77,1343,1
"122",330,1640,1
"123",323,1428,1
"124",202,1334,1
"125",815,1559,1
"126",1181,1440,1
"127",348,1344,1
"128",26,1260,1
"129",299,1336,1
"130",733,1351,1
"131",593,1291,1
"132",178,1269,1
"133",118,1286,1
"134",182,1442,1
"135",690,1384,1
"136",247,1370,1
"137",202,1332,1
"138",1108,1336,1
"139",476,1736,1
"140",1109,1450,1
"141",713,1260,1
"142",348,1385,1
"143",714,1389,1
"144",503,1278,1
"145",415,1384,1
"146",546,1342,1
"147",146,1351,1
"148",440,1286,1
"149",515,1342,1
"150",3,1236,1
"151",1215,1765,1
"152",517,1396,1
"153",961,1345,1
"154",1086,1262,1
"155",970,1336,1
"156",683,1736,1
"157",939,1349,1
"158",202,1330,1
"159",922,1910,1
"160",1083,1386,1
"161",1105,1618,1
"162",597,1748,1
"163",63,1384,1
"164",906,1388,1
"165",12,1251,1
"166",367,1336,1
"167",1071,1396,1
"168",811,1396,1
"169",437,1291,1
"170",491,1342,1
"171",939,1336,1
"172",360,1285,1
"173",906,1387,1
"174",515,1344,1
"175",784,1332,1
"176",503,1291,1
"177",906,1386,1
"178",331,1344,1
"179",1174,1349,1
"180",743,1291,1
"181",1117,1349,1
"182",784,1486,1
"183",916,1384,1
"184",146,1291,1
"185",953,1756,1
"186",1015,1739,1
"187",742,1278,1
"188",578,1384,1
"189",360,1384,1
"190",171,1260,1
"191",1078,1291,1
"192",348,1386,1
"193",1026,1370,1
"194",939,1337,1
"195",1181,1396,1
"196",1174,1350,1
"197",33,1336,1
"198",514,1344,1
"199",1086,1266,1
"200",1083,1384,1
"201",994,1235,1
"202",773,1396,1
"203",412,1333,1
"204",146,1336,1
"205",852,1728,1
"206",727,1854,1
"207",544,1304,1
"208",934,1305,1
"209",202,1562,1
"210",413,1386,1
"211",895,1336,1
"212",457,1291,1
"213",77,1342,1
"214",1174,1336,1
"215",288,1342,1
"216",11,1245,1
"217",714,1388,1
"218",1108,1351,1
"219",108,1332,1
"220",1160,1626,1
"221",348,1384,1
"222",537,1387,1
"223",537,1388,1
"224",783,1242,1
"225",167,1263,1
"226",12,1255,1
"227",718,1486,1
"228",1149,1511,1
"229",1072,1757,1
"230",1174,1351,1
"231",939,1351,1
"232",476,1737,1
"233",776,1349,1
"234",125,1384,1
"235",482,1442,1
"236",1049,1549,1
"237",563,1321,1
"238",862,1396,1
"239",1142,1563,1
"240",1042,1242,1
"241",611,1510,1
"242",707,1370,1
"243",63,1343,1
"244",1068,1345,1
"245",92,1242,1
"246",324,1396,1
"247",910,1509,1
"248",946,1396,1
"249",1105,1534,1
"250",848,1885,1
"251",1142,1776,1
"252",1068,1715,1
"253",776,1336,1
"254",989,1885,1
"255",26,1254,1
"256",12,1254,1
"257",743,1278,1
"258",995,1440,1
"259",95,1261,1
"260",985,1336,1
"261",1170,1765,1
"262",528,1396,1
"263",68,1397,1
"264",865,1844,1
"265",348,1387,1
"266",537,1389,1
"267",349,1350,1
"268",144,1502,1
"269",713,1739,1
"270",12,1256,1
"271",714,1386,1
"272",1068,1385,1
"273",437,1336,1
"274",910,1414,1
"275",373,1381,1
"276",490,1485,1
"277",118,1475,1
"278",927,1398,1
"279",412,1330,1
"280",38,1344,1
"281",68,1398,1
"282",12,1248,1
"283",1086,1264,1
"284",368,1659,1
"285",337,1398,1
"286",77,1386,1
"287",287,1242,1
"288",1002,1918,1
"289",331,1345,1
"290",977,1854,1
"291",442,1242,1
"292",19,1283,1
"293",974,1336,1
"294",1114,1497,1
"295",413,1387,1
"296",243,1332,1
"297",893,1333,1
"298",117,1349,1
"299",202,1333,1
"300",1086,1269,1
"301",243,1333,1
"302",916,1345,1
"303",39,1350,1
"304",910,1479,1
"305",469,1396,1
"306",1072,1756,1
"307",473,1734,1
"308",363,1440,1
"309",77,1285,1
"310",218,1350,1
"311",1086,1261,1
"312",337,1396,1
"313",342,1399,1
"314",487,1381,1
"315",215,1396,1
"316",117,1342,1
"317",1131,1385,1
"318",13,1260,1
"319",43,1291,1
"320",360,1385,1
"321",690,1347,1
"322",742,1291,1
"323",173,1389,1
"324",690,1351,1
"325",360,1351,1
"326",690,1388,1
"327",1079,1291,1
"328",1086,1270,1
"329",295,1396,1
"330",623,1291,1
"331",360,1387,1
"332",777,1291,1
"333",1222,1242,1
"334",982,1286,1
"335",360,1350,1
"336",534,1353,1
"337",876,1353,1
"338",899,1291,1
"339",1170,1626,1
"340",1037,1353,1
"341",107,1396,1
"342",890,1389,1
"343",817,1277,1
"344",717,1328,1
"345",153,1512,1
"346",1209,1512,1
"347",974,1349,1
"348",77,1347,1
"349",95,1350,1
"350",690,1343,1
"351",1,1234,1
"352",1081,1283,1
"353",375,1350,1
"354",739,1858,1
"355",477,1283,1
"356",1128,1549,1
"357",194,1349,1
"358",167,1262,1
"359",239,1283,1
"360",77,1385,1
"361",490,1442,1
"362",717,1510,1
"363",395,1442,1
"364",427,1286,1
"365",1196,1239,1
"366",1094,1263,1
"367",330,1235,1
"368",888,1900,1
"369",1084,1900,1
"370",360,1386,1
"371",316,1633,1
"372",918,1286,1
"373",1070,1345,1
"374",476,1261,1
"375",146,1349,1
"376",342,1525,1
"377",9,1242,1
"378",310,1349,1
"379",1124,1286,1
"380",520,1349,1
"381",962,1337,1
"382",537,1386,1
"383",1086,1268,1
"384",1020,1428,1
"385",1086,1274,1
"386",279,1350,1
"387",951,1739,1
"388",491,1343,1
"389",690,1386,1
"390",577,1486,1
"391",150,1511,1
"392",12,1253,1
"393",437,1278,1
"394",124,1287,1
"395",279,1349,1
"396",962,1336,1
"397",982,1287,1
"398",448,1287,1
"399",1099,1671,1
"400",38,1345,1
"401",215,1398,1
"402",26,1321,1
"403",690,1345,1
"404",171,1321,1
"405",862,1398,1
"406",982,1283,1
"407",733,1341,1
"408",113,1344,1
"409",360,1345,1
"410",108,1334,1
"411",63,1345,1
"412",167,1265,1
"413",1058,1246,1
"414",202,1331,1
"415",295,1440,1
"416",1094,1262,1
"417",565,1777,1
"418",32,1332,1
"419",32,1333,1
"420",1058,1250,1
"421",218,1349,1
"422",348,1345,1
"423",1183,1428,1
"424",97,1396,1
"425",348,1343,1
"426",781,1242,1
"427",258,1242,1
"428",1202,1486,1
"429",316,1421,1
"430",38,1347,1
"431",1231,1486,1
"432",1086,1276,1
"433",1125,1291,1
"434",1054,1480,1
"435",792,1396,1
"436",876,1291,1
"437",686,1396,1
"438",421,1291,1
"439",308,1399,1
"440",239,1480,1
"441",973,1399,1
"442",360,1347,1
"443",922,1495,1
"444",608,1259,1
"445",557,1242,1
"446",595,1381,1
"447",448,1286,1
"448",63,1388,1
"449",927,1396,1
"450",348,1350,1
"451",725,1336,1
"452",26,1259,1
"453",645,1242,1
"454",288,1345,1
"455",890,1345,1
"456",1164,1286,1
"457",517,1440,1
"458",742,1353,1
"459",146,1350,1
"460",953,1757,1
"461",349,1349,1
"462",776,1353,1
"463",167,1277,1
"464",371,1481,1
"465",10,1243,1
"466",1108,1350,1
"467",688,1277,1
"468",59,1381,1
"469",415,1260,1
"470",593,1353,1
"471",623,1353,1
"472",1105,1952,1
"473",962,1351,1
"474",13,1259,1
"475",113,1343,1
"476",528,1370,1
"477",514,1343,1
"478",1225,1549,1
"479",1142,1959,1
"480",971,1349,1
"481",1099,1442,1
"482",433,1286,1
"483",1108,1349,1
"484",437,1337,1
"485",119,1242,1
"486",77,1345,1
"487",98,1286,1
"488",459,1242,1
"489",448,1283,1
"490",97,1440,1
"491",146,1278,1
"492",425,1440,1
"493",537,1387,1
"494",835,1884,1
"495",236,1558,1
"496",735,1247,1
"497",10,1244,1
"498",1108,1337,1
"499",67,1242,1
"500",178,1263,1
"501",1083,1387,1
"502",602,1512,1
"503",991,1242,1
"504",1133,1388,1
"505",454,1291,1
"506",1086,1271,1
"507",342,1242,1
"508",464,1396,1
"509",1058,1252,1
"510",795,1242,1
"511",239,1287,1
"512",514,1345,1
"513",1094,1261,1
"514",175,1440,1
"515",315,1486,1
"516",724,1381,1
"517",395,1671,1
"518",1090,1345,1
"519",395,1485,1
"520",118,1287,1
"521",172,1381,1
"522",784,1511,1
"523",1164,1480,1
"524",1124,1283,1
"525",360,1349,1
"526",776,1278,1
"527",447,1278,1
"528",971,1351,1
"529",98,1283,1
"530",1105,1951,1
"531",895,1345,1
"532",305,1399,1
"533",514,1342,1
"534",537,1386,1
"535",690,1350,1
"536",562,1349,1
"537",690,1349,1
"538",63,1386,1
"539",12,1250,1
"540",1219,1291,1
"541",1087,1885,1
"542",91,1428,1
"543",713,1390,1
"544",38,1346,1
"545",939,1353,1
"546",605,1243,1
"547",776,1350,1
"548",1053,1512,1
"549",895,1348,1
"550",457,1353,1
"551",1146,1399,1
"552",962,1350,1
"553",502,1336,1
"554",714,1387,1
"555",218,1351,1
"556",690,1285,1
"557",117,1347,1
"558",714,1384,1
"559",1142,1564,1
"560",288,1388,1
"561",113,1342,1
"562",150,1510,1
"563",1174,1337,1
"564",611,1442,1
"565",117,1343,1
"566",38,1348,1
"567",360,1343,1
"568",331,1343,1
"569",45,1242,1
"570",239,1576,1
"571",515,1343,1
"572",61,1345,1
"573",12,1247,1
"574",243,1331,1
"575",1142,1233,1
"576",107,1440,1
"577",976,1440,1
"578",32,1331,1
"579",477,1286,1
"580",12,1246,1
"581",435,1242,1
"582",146,1337,1
"583",370,1385,1
"584",162,1512,1
"585",474,1242,1
"586",124,1283,1
"587",331,1342,1
"588",518,1353,1
"589",394,1242,1
"590",150,1328,1
"591",473,1735,1
"592",202,1329,1
"593",1094,1273,1
"594",355,1283,1
"595",38,1343,1
"596",63,1385,1
"597",288,1343,1
"598",279,1351,1
"599",19,1286,1
"600",118,1476,1
"601",698,1283,1
"602",499,1671,1
"603",490,1671,1
"604",920,1909,1
"605",776,1337,1
"606",198,1283,1
"607",1133,1283,1
"608",972,1259,1
"609",63,1387,1
"610",618,1512,1
"611",965,1341,1
"612",503,1353,1
"613",348,1285,1
"614",63,1342,1
"615",1142,1958,1
"616",39,1349,1
"617",690,1337,1
"618",433,1283,1
"619",113,1345,1
"620",784,1381,1
"621",1086,1263,1
"622",355,1287,1
"623",691,1839,1
"624",793,1291,1
"625",608,1321,1
"626",410,1381,1
"627",77,1351,1
"628",146,1353,1
"629",63,1285,1
"630",1086,1273,1
"631",1160,1765,1
"632",292,1242,1
"633",1017,1920,1
"634",171,1249,1
"635",1171,1510,1
"636",1159,1324,1
"637",360,1501,1
"638",434,1243,1
"639",906,1384,1
"640",623,1278,1
"641",279,1337,1
"642",63,1389,1
"643",360,1388,1
"644",736,1291,1
"645",32,1329,1
"646",939,1291,1
