"","CID_id","mol_id","action_id"
"1",444,1370,10
"2",858,1332,10
"3",980,1440,10
"4",919,1434,10
"5",919,1288,10
"6",386,1370,10
"7",1081,1543,10
"8",278,1486,10
"9",1188,1732,10
"10",919,1432,10
"11",1068,1885,10
"12",121,1381,10
"13",1101,1381,10
"14",675,1370,10
"15",848,1885,10
"16",858,1331,10
"17",1091,1948,10
"18",1068,1381,10
"19",1104,1768,10
"20",1087,1885,10
"21",778,1794,10
"22",234,1370,10
"23",1081,1411,10
"24",1081,1490,10
"25",1068,1304,10
"26",201,1345,10
"27",858,1334,10
"28",848,1714,10
"29",750,1361,10
"30",109,1450,10
"31",284,1604,10
"32",709,1361,10
"33",919,1431,10
"34",919,1430,10
"35",584,1486,10
"36",1226,1370,10
"37",84,1361,10
"38",109,1409,10
"39",651,1370,10
"40",109,1451,10
"41",1097,1381,10
"42",919,1662,10
"43",584,1381,10
"44",316,1305,1
"45",1084,1945,1
"46",784,1334,1
"47",502,1349,1
"48",173,1349,1
"49",55,1370,1
"50",776,1351,1
"51",534,1291,1
"52",243,1334,1
"53",316,1304,1
"54",481,1739,1
"55",895,1342,1
"56",1086,1267,1
"57",43,1278,1
"58",1015,1345,1
"59",735,1248,1
"60",56,1242,1
"61",38,1342,1
"62",792,1440,1
"63",195,1559,1
"64",236,1559,1
"65",895,1349,1
"66",243,1330,1
"67",593,1278,1
"68",520,1350,1
"69",786,1440,1
"70",80,1261,1
"71",194,1336,1
"72",325,1285,1
"73",12,1252,1
"74",77,1350,1
"75",716,1345,1
"76",537,1384,1
"77",92,1429,1
"78",892,1396,1
"79",863,1396,1
"80",32,1330,1
"81",486,1748,1
"82",1,1235,1
"83",962,1349,1
"84",79,1414,1
"85",1086,1275,1
"86",1088,1440,1
"87",288,1384,1
"88",520,1336,1
"89",488,1384,1
"90",425,1396,1
"91",287,1440,1
"92",1086,1265,1
"93",716,1384,1
"94",608,1260,1
"95",173,1384,1
"96",415,1386,1
"97",690,1342,1
"98",447,1336,1
"99",690,1385,1
"100",121,1486,1
"101",63,1386,1
"102",893,1330,1
"103",556,1765,1
"104",360,1342,1
"105",1090,1384,1
"106",77,1384,1
"107",895,1285,1
"108",68,1396,1
"109",412,1332,1
"110",77,1343,1
"111",330,1640,1
"112",323,1428,1
"113",202,1334,1
"114",815,1559,1
"115",1181,1440,1
"116",348,1344,1
"117",26,1260,1
"118",299,1336,1
"119",733,1351,1
"120",593,1291,1
"121",178,1269,1
"122",118,1286,1
"123",182,1442,1
"124",690,1384,1
"125",1231,1370,1
"126",202,1332,1
"127",1108,1336,1
"128",476,1736,1
"129",1109,1450,1
"130",713,1260,1
"131",348,1385,1
"132",714,1389,1
"133",503,1278,1
"134",415,1384,1
"135",546,1342,1
"136",146,1351,1
"137",440,1286,1
"138",515,1342,1
"139",279,1336,1
"140",1215,1765,1
"141",517,1396,1
"142",961,1345,1
"143",1026,1370,1
"144",970,1336,1
"145",683,1736,1
"146",939,1349,1
"147",202,1330,1
"148",922,1910,1
"149",1083,1386,1
"150",1105,1618,1
"151",597,1748,1
"152",63,1384,1
"153",906,1388,1
"154",12,1251,1
"155",367,1336,1
"156",1071,1396,1
"157",811,1396,1
"158",437,1291,1
"159",491,1342,1
"160",939,1336,1
"161",360,1285,1
"162",447,1291,1
"163",515,1344,1
"164",784,1332,1
"165",447,1278,1
"166",906,1386,1
"167",331,1344,1
"168",1174,1349,1
"169",743,1291,1
"170",1117,1349,1
"171",230,1512,1
"172",916,1384,1
"173",146,1291,1
"174",735,1252,1
"175",1015,1739,1
"176",742,1278,1
"177",578,1384,1
"178",360,1384,1
"179",1058,1248,1
"180",3,1236,1
"181",348,1386,1
"182",784,1370,1
"183",939,1337,1
"184",1181,1396,1
"185",1174,1350,1
"186",33,1336,1
"187",514,1344,1
"188",1086,1266,1
"189",1083,1384,1
"190",348,1336,1
"191",773,1396,1
"192",412,1333,1
"193",146,1336,1
"194",852,1728,1
"195",727,1854,1
"196",544,1304,1
"197",934,1305,1
"198",202,1562,1
"199",413,1386,1
"200",895,1336,1
"201",457,1291,1
"202",77,1342,1
"203",1174,1336,1
"204",735,1246,1
"205",774,1291,1
"206",11,1245,1
"207",1108,1351,1
"208",108,1332,1
"209",1160,1626,1
"210",348,1384,1
"211",537,1387,1
"212",537,1388,1
"213",783,1242,1
"214",167,1263,1
"215",12,1255,1
"216",718,1486,1
"217",1149,1511,1
"218",1072,1757,1
"219",1174,1351,1
"220",939,1351,1
"221",476,1737,1
"222",776,1349,1
"223",125,1384,1
"224",482,1442,1
"225",1049,1549,1
"226",577,1370,1
"227",862,1396,1
"228",1142,1563,1
"229",1042,1242,1
"230",611,1510,1
"231",642,1370,1
"232",1012,1278,1
"233",1068,1345,1
"234",92,1242,1
"235",324,1396,1
"236",910,1509,1
"237",946,1396,1
"238",1105,1534,1
"239",848,1885,1
"240",1142,1776,1
"241",1068,1715,1
"242",776,1336,1
"243",989,1885,1
"244",26,1254,1
"245",348,1337,1
"246",743,1278,1
"247",995,1440,1
"248",95,1261,1
"249",985,1336,1
"250",1170,1765,1
"251",528,1396,1
"252",784,1486,1
"253",865,1844,1
"254",348,1387,1
"255",537,1389,1
"256",349,1350,1
"257",144,1502,1
"258",939,1278,1
"259",12,1256,1
"260",714,1386,1
"261",1068,1385,1
"262",437,1336,1
"263",910,1414,1
"264",373,1381,1
"265",490,1485,1
"266",118,1475,1
"267",927,1398,1
"268",412,1330,1
"269",38,1344,1
"270",68,1398,1
"271",12,1248,1
"272",1163,1970,1
"273",503,1291,1
"274",171,1260,1
"275",1078,1291,1
"276",287,1242,1
"277",518,1291,1
"278",331,1345,1
"279",977,1854,1
"280",442,1242,1
"281",19,1283,1
"282",974,1336,1
"283",1114,1497,1
"284",413,1387,1
"285",243,1332,1
"286",893,1333,1
"287",117,1349,1
"288",202,1333,1
"289",1086,1269,1
"290",243,1333,1
"291",916,1345,1
"292",39,1350,1
"293",910,1479,1
"294",469,1396,1
"295",1072,1756,1
"296",473,1734,1
"297",363,1440,1
"298",77,1285,1
"299",218,1350,1
"300",1086,1261,1
"301",337,1396,1
"302",342,1399,1
"303",487,1381,1
"304",215,1396,1
"305",117,1342,1
"306",1131,1385,1
"307",916,1384,1
"308",43,1291,1
"309",360,1385,1
"310",690,1347,1
"311",994,1235,1
"312",173,1389,1
"313",690,1351,1
"314",360,1351,1
"315",690,1388,1
"316",1079,1291,1
"317",1086,1270,1
"318",46,1284,1
"319",623,1291,1
"320",360,1387,1
"321",777,1291,1
"322",348,1285,1
"323",982,1286,1
"324",360,1350,1
"325",288,1342,1
"326",876,1353,1
"327",899,1291,1
"328",1070,1343,1
"329",1037,1353,1
"330",107,1396,1
"331",890,1389,1
"332",817,1277,1
"333",68,1397,1
"334",348,1349,1
"335",1209,1512,1
"336",974,1349,1
"337",77,1347,1
"338",95,1350,1
"339",690,1343,1
"340",1,1234,1
"341",1081,1283,1
"342",375,1350,1
"343",739,1858,1
"344",477,1283,1
"345",1128,1549,1
"346",1086,1262,1
"347",167,1262,1
"348",563,1321,1
"349",77,1385,1
"350",490,1442,1
"351",717,1510,1
"352",395,1442,1
"353",730,1242,1
"354",1196,1239,1
"355",247,1370,1
"356",330,1235,1
"357",888,1900,1
"358",1084,1900,1
"359",360,1386,1
"360",316,1633,1
"361",918,1286,1
"362",1222,1242,1
"363",476,1261,1
"364",146,1349,1
"365",342,1525,1
"366",9,1242,1
"367",774,1278,1
"368",1124,1286,1
"369",520,1349,1
"370",962,1337,1
"371",602,1512,1
"372",1086,1268,1
"373",1020,1428,1
"374",1086,1274,1
"375",279,1350,1
"376",951,1739,1
"377",491,1343,1
"378",690,1386,1
"379",577,1486,1
"380",150,1511,1
"381",12,1253,1
"382",437,1278,1
"383",124,1287,1
"384",279,1349,1
"385",1090,1384,1
"386",982,1287,1
"387",711,1321,1
"388",1099,1671,1
"389",38,1345,1
"390",242,1278,1
"391",325,1345,1
"392",742,1291,1
"393",1086,1264,1
"394",368,1659,1
"395",337,1398,1
"396",77,1386,1
"397",113,1344,1
"398",360,1345,1
"399",108,1334,1
"400",63,1345,1
"401",167,1265,1
"402",1070,1345,1
"403",202,1331,1
"404",295,1440,1
"405",906,1387,1
"406",565,1777,1
"407",690,1336,1
"408",32,1333,1
"409",1058,1250,1
"410",218,1349,1
"411",348,1345,1
"412",1183,1428,1
"413",97,1396,1
"414",348,1343,1
"415",781,1242,1
"416",258,1242,1
"417",953,1756,1
"418",316,1421,1
"419",38,1347,1
"420",1231,1486,1
"421",1086,1276,1
"422",1125,1291,1
"423",218,1351,1
"424",792,1396,1
"425",876,1291,1
"426",686,1396,1
"427",421,1291,1
"428",13,1260,1
"429",239,1480,1
"430",973,1399,1
"431",916,1388,1
"432",690,1345,1
"433",608,1259,1
"434",427,1286,1
"435",716,1388,1
"436",714,1388,1
"437",63,1388,1
"438",927,1396,1
"439",295,1396,1
"440",725,1336,1
"441",26,1259,1
"442",1058,1246,1
"443",288,1345,1
"444",890,1345,1
"445",1094,1262,1
"446",534,1353,1
"447",742,1353,1
"448",146,1350,1
"449",1170,1626,1
"450",349,1349,1
"451",776,1353,1
"452",167,1277,1
"453",371,1481,1
"454",717,1328,1
"455",1108,1350,1
"456",688,1277,1
"457",59,1381,1
"458",415,1260,1
"459",593,1353,1
"460",623,1353,1
"461",1105,1952,1
"462",962,1351,1
"463",13,1259,1
"464",113,1343,1
"465",528,1370,1
"466",514,1343,1
"467",194,1349,1
"468",1142,1959,1
"469",239,1283,1
"470",608,1392,1
"471",219,1571,1
