,CID,mol_id,action,CID_id,mol_id_id,id
0,16129704,339641,inhibitor,0,1080,0
1,152951,339641,inhibitor,76,1080,0
2,5361,339641,inhibitor,784,1080,0
3,6445226,339641,inhibitor,869,1080,0
4,4413,339641,inhibitor,1067,1080,0
5,54687,306865,inhibitor,4,1084,0
6,53232,306865,inhibitor,43,1084,0
7,54454,306865,inhibitor,290,1084,0
8,60823,306865,inhibitor,558,1084,0
9,1548972,306865,inhibitor,573,1084,0
10,446157,306865,inhibitor,575,1084,0
11,5282452,306865,inhibitor,918,1084,0
12,3404,36433,inhibitor,5,1085,0
13,33741,36433,inhibitor,18,1085,0
14,2771,36433,inhibitor,35,1085,0
15,5656,36433,inhibitor,80,1085,0
16,2160,36433,inhibitor,106,1085,0
17,4976,36433,inhibitor,119,1085,0
18,4158,36433,inhibitor,158,1085,0
19,3696,36433,inhibitor,180,1085,0
20,60835,36433,inhibitor,189,1085,0
21,5360696,36433,inhibitor,215,1085,0
22,4543,36433,inhibitor,227,1085,0
23,2170,36433,inhibitor,230,1085,0
24,4020,36433,inhibitor,255,1085,0
25,5533,36433,inhibitor,298,1085,0
26,43815,36433,inhibitor,332,1085,0
27,5584,36433,inhibitor,341,1085,0
28,4199,36433,inhibitor,382,1085,0
29,7028,36433,inhibitor,412,1085,0
30,681,36433,inhibitor,497,1085,0
31,68617,36433,inhibitor,580,1085,0
32,2725,36433,inhibitor,584,1085,0
33,667468,36433,inhibitor,604,1085,0
34,2995,36433,inhibitor,610,1085,0
35,146570,36433,inhibitor,625,1085,0
36,65833,36433,inhibitor,806,1085,0
37,4184,36433,inhibitor,830,1085,0
38,9838022,36433,inhibitor,839,1085,0
39,125017,36433,inhibitor,873,1085,0
40,154101,36433,inhibitor,874,1085,0
41,6917779,36433,inhibitor,938,1085,0
42,21772,36433,inhibitor,945,1085,0
43,5284550,36433,inhibitor,975,1085,0
44,5362129,178286,inhibitor,7,1087,0
45,55891,178286,inhibitor,201,1087,0
46,5484727,178286,inhibitor,217,1087,0
47,5362124,178286,inhibitor,229,1087,0
48,91270,178286,inhibitor,315,1087,0
49,5362119,178286,inhibitor,337,1087,0
50,107807,178286,inhibitor,376,1087,0
51,54892,178286,inhibitor,427,1087,0
52,32681,178286,inhibitor,629,1087,0
53,44093,178286,inhibitor,635,1087,0
54,56330,178286,inhibitor,706,1087,0
55,5311447,178286,inhibitor,707,1087,0
56,5462501,178286,inhibitor,1020,1087,0
57,71398,187193,inhibitor,8,1088,0
58,4649,187193,inhibitor,47,1088,0
59,4075,187193,inhibitor,53,1088,0
60,5359476,187193,inhibitor,377,1088,0
61,6335412,187193,inhibitor,517,1088,0
62,54675783,187193,inhibitor,520,1088,0
63,26248,187193,inhibitor,1057,1088,0
64,11671467,187193,inhibitor,1059,1088,0
65,89594,179002,inhibitor,12,1104,0
66,2145,179002,inhibitor,125,1104,0
67,13769,179002,inhibitor,436,1104,0
68,60198,179002,inhibitor,499,1104,0
69,3823,179002,inhibitor,528,1104,0
70,2187,179002,inhibitor,652,1104,0
71,89594,301096,inhibitor,12,1105,0
72,4585,31631,inhibitor,113,1106,0
73,3878,31631,inhibitor,241,1106,0
74,3878,31631,inhibitor,241,1106,0
75,4585,386422,inhibitor,113,1107,0
76,3878,386422,inhibitor,241,1107,0
77,3878,386422,inhibitor,241,1107,0
78,4585,386424,inhibitor,113,1108,0
79,3878,386424,inhibitor,241,1108,0
80,3878,386424,inhibitor,241,1108,0
81,4585,905393,inhibitor,113,1109,0
82,3878,905393,inhibitor,241,1109,0
