"","CID_id","mol_id","action_id"
"1594",1218,1739,2
"513",1124,1283,1
"1401",325,1341,2
"3233",201,1383,0
"797",1015,1385,2
"1969",894,1348,2
"3983",1147,1433,12
"383",124,1287,1
"3461",485,1469,0
"3708",697,1355,0
"2391",509,1406,0
"3892",25,1317,0
"741",77,1389,1
"790",1095,1260,2
"3875",485,1462,0
"1127",504,1260,2
"2184",170,1238,7
"2250",1228,1523,11
"3186",580,1616,0
"801",750,1305,2
"2623",1150,1240,0
"1710",921,1321,2
"2740",175,1412,0
"3438",1137,1369,0
"2794",433,1626,0
"1333",1095,1345,2
"358",1084,1900,1
"1306",251,1353,2
"1200",1138,1342,2
"1434",618,1809,2
"584",146,1337,1
"2141",148,1278,7
"3870",322,1312,0
"3750",1129,1312,0
"1436",164,1530,2
"1623",710,1321,2
"3141",405,1380,0
"1740",786,1525,2
"4062",796,1724,4
"2813",406,1679,0
"3923",303,1400,0
"499",795,1242,1
"1536",982,1431,2
"3579",845,1663,0
"2006",129,1341,2
"3627",125,1270,0
"1473",1118,1345,2
"3643",216,1569,0
"3638",485,1468,0
"2249",93,1433,11
"620",1160,1765,1
"2464",109,1452,0
"2816",561,1401,0
"3191",761,1418,0
"2265",1228,1410,11
"3108",75,1407,0
"264",373,1381,1
"576",331,1342,1
"44",316,1305,1
"898",621,1384,2
"3685",621,1324,0
"600",515,1343,1
"3307",800,1418,0
"2754",456,1366,0
"3417",567,1648,0
"1466",388,1328,2
"2826",148,1384,0
"3322",558,1241,0
"3686",1046,1472,0
"2940",59,1382,0
"398",360,1345,1
"465",528,1370,1
"731",163,1242,1
"2701",585,1413,0
"3978",1147,1432,12
"3963",537,1713,12
"2199",145,1440,7
"1343",164,1529,2
"572",370,1385,1
"873",949,1383,2
"2488",1203,2008,0
"87",288,1384,1
"2426",594,1473,0
"887",1208,1260,2
"1533",530,1260,2
"2600",159,1521,0
"1320",770,1721,2
"3206",71,1404,0
"3478",410,1380,0
"1393",1095,1350,2
"2168",170,1336,7
"1111",894,1386,2
"2306",420,1708,5
"115",1181,1440,1
"448",146,1350,1
"3811",289,1455,0
"2063",384,1348,2
"1375",513,1341,2
"2642",847,1306,0
"2534",27,1323,0
"364",146,1349,1
"885",711,1259,2
"1427",201,1259,2
"2948",291,1518,0
"2730",252,1580,0
"3631",968,1284,0
"2341",775,1327,0
"1462",372,1249,2
"3399",76,1362,0
"656",77,1351,1
"1010",681,1291,2
"300",1086,1261,1
"3214",265,1278,0
"3622",249,1354,0
"3274",1003,1335,0
"2517",296,1612,0
"2390",166,1410,0
"301",337,1396,1
"1187",143,1260,2
"2378",1076,1528,0
"918",126,1278,2
"1452",764,1259,2
"3223",485,1464,0
"2055",689,1249,2
"48",173,1349,1
"2557",911,1465,0
"3717",662,1284,0
"175",1015,1739,1
"1630",1068,1390,2
"2309",584,1795,5
